EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,DE1_.038-.053MEV_E_1/(cm**2-s-sr-MeV),DE2_.053-.103MEV_E_1/(cm**2-s-sr-MeV),DE3_.103-.175MEV_E_1/(cm**2-s-sr-MeV),DE4_.175-.315MEV_E_1/(cm**2-s-sr-MeV)
1998-04-19T00:00:00.000Z,355.67,133.63,65.685,25.704
1998-04-19T01:00:00.000Z,383.52,137.86,64.782,25.806
1998-04-19T02:00:00.000Z,367.29,137.4,65.099,24.505
1998-04-19T03:00:00.000Z,381.14,137.61,63.254,25.612
1998-04-19T04:00:00.000Z,363.9,135.53,63.621,25.49
1998-04-19T05:00:00.000Z,385.95,136.5,62.907,23.454
1998-04-19T06:00:00.000Z,371.71,135.13,65.615,24.622
1998-04-19T07:00:00.000Z,373.14,137.54,64.236,24.73
1998-04-19T08:00:00.000Z,350.48,132.03,66.865,25.265
1998-04-19T09:00:00.000Z,348.86,135.86,63.79,25.515
1998-04-19T10:00:00.000Z,352.95,134.89,63.79,24.245
1998-04-19T11:00:00.000Z,359.57,134.46,63.442,24.342
1998-04-19T12:00:00.000Z,345.43,133.96,63.641,22.929
1998-04-19T13:00:00.000Z,330.48,131.5,63.998,24.526
1998-04-19T14:00:00.000Z,331.24,127.14,65.516,25.133
1998-04-19T15:00:00.000Z,340.81,128.27,64.673,25.24
1998-04-19T16:00:00.000Z,341.29,128.83,63.74,24.515
1998-04-19T17:00:00.000Z,340.9,129.66,63.968,24.163
1998-04-19T18:00:00.000Z,345.76,130.64,60.694,24.352
1998-04-19T19:00:00.000Z,341.62,132.71,61.984,25.138
1998-04-19T20:00:00.000Z,330.76,130.34,60.923,24.439
1998-04-19T21:00:00.000Z,339.52,129.59,60.823,23.036
1998-04-19T22:00:00.000Z,313,133.07,62.867,23.842
1998-04-19T23:00:00.000Z,318.14,119.76,60.615,24.092
1998-04-20T00:00:00.000Z,307.29,125.33,60.863,23.306
1998-04-20T01:00:00.000Z,305.76,120.43,58.948,23.571
1998-04-20T02:00:00.000Z,313.43,126.96,61.865,26.25
1998-04-20T03:00:00.000Z,307.43,120.51,59.97,24.648
1998-04-20T04:00:00.000Z,298.9,118.49,60.159,23.245
1998-04-20T05:00:00.000Z,310.52,125.86,57.163,22.036
1998-04-20T06:00:00.000Z,309.1,121.53,60.03,23.276
1998-04-20T07:00:00.000Z,294.76,116.49,59.365,22.969
1998-04-20T08:00:00.000Z,288.29,119.8,61.2,22.959
1998-04-20T09:00:00.000Z,270.52,112.89,54.306,22.51
1998-04-20T10:00:00.000Z,404.24,205,117.16,52.5
1998-04-20T11:00:00.000Z,3523.8,2115.7,1511.9,649.49
1998-04-20T12:00:00.000Z,29967,13976,8287.7,3096.4
1998-04-20T13:00:00.000Z,66048,27843,15804,5729.6
1998-04-20T14:00:00.000Z,72762,29400,16091,5688.8
1998-04-20T15:00:00.000Z,89238,34043,17966,6158.2
1998-04-20T16:00:00.000Z,114900,41886,21488,7250
1998-04-20T17:00:00.000Z,139000,49157,24484,8051
1998-04-20T18:00:00.000Z,123140,44143,21885,7066.3
1998-04-20T19:00:00.000Z,134430,47457,23323,7382.7
1998-04-20T20:00:00.000Z,141140,48986,23968,7576.5
1998-04-20T21:00:00.000Z,159710,55757,27550,8663.3
1998-04-20T22:00:00.000Z,178900,62214,30883,9959.2
1998-04-20T23:00:00.000Z,267430,93714,48274,16092
1998-04-21T00:00:00.000Z,301860,111670,60308,21092
1998-04-21T01:00:00.000Z,313290,121970,68155,24633
1998-04-21T02:00:00.000Z,365190,144570,81627,29745
1998-04-21T03:00:00.000Z,432710,173430,99802,36480
1998-04-21T04:00:00.000Z,558570,220710,126390,46265
1998-04-21T05:00:00.000Z,610480,255570,150890,57500
1998-04-21T06:00:00.000Z,589050,245430,145240,54898
1998-04-21T07:00:00.000Z,745710,313570,185710,69031
1998-04-21T08:00:00.000Z,848570,356140,212000,78061
1998-04-21T09:00:00.000Z,1.03000e+06,440430,265080,99235
1998-04-21T10:00:00.000Z,1.06810e+06,463860,280260,104850
1998-04-21T11:00:00.000Z,1.18380e+06,504000,300000,110560
1998-04-21T12:00:00.000Z,1.18140e+06,500710,295730,108270
1998-04-21T13:00:00.000Z,973330,399860,235020,83673
1998-04-21T14:00:00.000Z,697620,294570,173710,62908
1998-04-21T15:00:00.000Z,562380,242000,143550,52245
1998-04-21T16:00:00.000Z,730000,307570,177280,62806
1998-04-21T17:00:00.000Z,760000,318570,181050,63316
1998-04-21T18:00:00.000Z,756190,312430,175600,60918
1998-04-21T19:00:00.000Z,822380,329430,180950,61939
1998-04-21T20:00:00.000Z,762380,306000,166170,56224
1998-04-21T21:00:00.000Z,730480,291430,156250,52194
1998-04-21T22:00:00.000Z,710480,278710,148310,48786
1998-04-21T23:00:00.000Z,680480,263430,138100,45321
1998-04-22T00:00:00.000Z,649520,248000,130560,41918
1998-04-22T01:00:00.000Z,657140,249570,130360,41633
1998-04-22T02:00:00.000Z,683330,252140,128080,39964
1998-04-22T03:00:00.000Z,674290,243570,122120,37847
1998-04-22T04:00:00.000Z,635240,230570,116370,35673
1998-04-22T05:00:00.000Z,681430,238000,116470,35194
1998-04-22T06:00:00.000Z,730000,248570,119250,35648
1998-04-22T07:00:00.000Z,746190,247710,115970,34423
1998-04-22T08:00:00.000Z,742860,244570,113190,33408
1998-04-22T09:00:00.000Z,814290,259570,117060,33837
1998-04-22T10:00:00.000Z,794290,250290,112200,32474
1998-04-22T11:00:00.000Z,751900,234570,104170,29923
1998-04-22T12:00:00.000Z,706670,221140,97798,28061
1998-04-22T13:00:00.000Z,668100,207570,91647,26240
1998-04-22T14:00:00.000Z,599050,185430,81111,23276
1998-04-22T15:00:00.000Z,486670,151290,66905,19138
1998-04-22T16:00:00.000Z,385050,121110,54325,15643
1998-04-22T17:00:00.000Z,378100,118460,52877,15173
1998-04-22T18:00:00.000Z,405520,124710,54643,15510
1998-04-22T19:00:00.000Z,397670,120530,52192,14714
1998-04-22T20:00:00.000Z,377430,113990,49583,14005
1998-04-22T21:00:00.000Z,315240,97171,42500,12041
1998-04-22T22:00:00.000Z,308620,94371,40933,11520
1998-04-22T23:00:00.000Z,299290,90057,38294,10750
1998-04-23T00:00:00.000Z,215950,66614,29385,8316.3
1998-04-23T01:00:00.000Z,234810,70814,30585,8561.2
1998-04-23T02:00:00.000Z,212710,64486,28026,7867.3
1998-04-23T03:00:00.000Z,211100,62914,26895,7545.9
1998-04-23T04:00:00.000Z,183140,54871,23661,6653.1
1998-04-23T05:00:00.000Z,132810,41029,17917,5107.1
1998-04-23T06:00:00.000Z,129520,39943,17351,4934.2
1998-04-23T07:00:00.000Z,125950,38600,16766,4731.1
1998-04-23T08:00:00.000Z,120900,36843,16131,4526
1998-04-23T09:00:00.000Z,116380,35414,15417,4306.6
1998-04-23T10:00:00.000Z,110140,33414,14524,4106.6
1998-04-23T11:00:00.000Z,107140,32471,14077,3965.3
1998-04-23T12:00:00.000Z,104100,31357,13552,3812.2
1998-04-23T13:00:00.000Z,102520,30743,13224,3700.5
1998-04-23T14:00:00.000Z,99571,29743,12808,3593.9
1998-04-23T15:00:00.000Z,97524,28929,12391,3466.3
1998-04-23T16:00:00.000Z,94762,28071,11984,3345.4
1998-04-23T17:00:00.000Z,87143,25929,11141,3095.9
1998-04-23T18:00:00.000Z,81333,24200,10278,2877
1998-04-23T19:00:00.000Z,77048,22914,9674.6,2710.7
1998-04-23T20:00:00.000Z,76905,22743,9544.6,2660.2
1998-04-23T21:00:00.000Z,67667,20171,8600.2,2400
1998-04-23T22:00:00.000Z,61286,18386,7927.6,2204.6
1998-04-23T23:00:00.000Z,56762,17071,7402.8,2069.4
1998-04-24T00:00:00.000Z,57810,17286,7414.7,2064.3
1998-04-24T01:00:00.000Z,55952,16629,7132.9,1987.8
1998-04-24T02:00:00.000Z,55000,16286,6991.1,1948.5
1998-04-24T03:00:00.000Z,53429,15771,6725.2,1880.1
1998-04-24T04:00:00.000Z,51810,15271,6528.8,1800.5
1998-04-24T05:00:00.000Z,50143,14829,6301.6,1740.8
1998-04-24T06:00:00.000Z,49143,14486,6106.2,1695.9
1998-04-24T07:00:00.000Z,46657,13647,5758.9,1587.8
1998-04-24T08:00:00.000Z,44543,13110,5558.5,1529.1
1998-04-24T09:00:00.000Z,43105,12689,5346.2,1474.5
1998-04-24T10:00:00.000Z,39957,11761,4940.5,1376.5
1998-04-24T11:00:00.000Z,34181,10211,4329.4,1209.7
1998-04-24T12:00:00.000Z,30962,9267.1,3950.4,1102
1998-04-24T13:00:00.000Z,30881,9168.6,3943.5,1094.9
1998-04-24T14:00:00.000Z,30238,8950,3825.4,1066.3
1998-04-24T15:00:00.000Z,29838,8787.1,3740.1,1040.8
1998-04-24T16:00:00.000Z,28995,8558.6,3634.9,1011.7
1998-04-24T17:00:00.000Z,27943,8252.9,3507.9,972.45
1998-04-24T18:00:00.000Z,26795,7894.3,3371,934.69
1998-04-24T19:00:00.000Z,26276,7741.4,3297.6,911.22
1998-04-24T20:00:00.000Z,25714,7535.7,3173.6,883.67
1998-04-24T21:00:00.000Z,25071,7400,3138.9,869.39
1998-04-24T22:00:00.000Z,24476,7182.9,3028.8,845.92
1998-04-24T23:00:00.000Z,23152,6772.9,2860.1,801.53
1998-04-25T00:00:00.000Z,21967,6467.1,2742.1,765.82
1998-04-25T01:00:00.000Z,19814,5922.9,2531.7,715.82
1998-04-25T02:00:00.000Z,18767,5678.6,2411.7,682.14
1998-04-25T03:00:00.000Z,17657,5332.9,2267.9,639.8
1998-04-25T04:00:00.000Z,17052,5077.1,2180.6,615.31
1998-04-25T05:00:00.000Z,16724,5054.3,2155.8,604.59
1998-04-25T06:00:00.000Z,16143,4804.3,2074.4,580.1
1998-04-25T07:00:00.000Z,15119,4515.7,1954.4,552.04
1998-04-25T08:00:00.000Z,13743,4111.4,1772.8,497.5
1998-04-25T09:00:00.000Z,14114,4227.1,1821.4,521.94
1998-04-25T10:00:00.000Z,12733,3848.6,1646.8,474.18
1998-04-25T11:00:00.000Z,11067,3364.3,1481.2,430.31
1998-04-25T12:00:00.000Z,10176,3115.7,1374,403.16
1998-04-25T13:00:00.000Z,9623.8,2961.4,1297.6,376.63
1998-04-25T14:00:00.000Z,9538.1,2915.7,1279.8,371.22
1998-04-25T15:00:00.000Z,9476.2,2888.6,1271.8,371.07
1998-04-25T16:00:00.000Z,9147.6,2801.4,1230.2,359.9
1998-04-25T17:00:00.000Z,8933.3,2744.3,1192.5,348.06
1998-04-25T18:00:00.000Z,8976.2,2712.9,1166.7,345.66
1998-04-25T19:00:00.000Z,8471.4,2564.3,1120,324.85
1998-04-25T20:00:00.000Z,8419,2547.1,1089.3,321.48
1998-04-25T21:00:00.000Z,8223.8,2468.6,1062.5,311.17
1998-04-25T22:00:00.000Z,7552.4,2291.4,1001,294.18
1998-04-25T23:00:00.000Z,6904.8,2110,929.66,278.01
1998-05-03T00:00:00.000Z,126480,30886,11716,3133.2
1998-05-03T01:00:00.000Z,104670,26729,10228,2724
1998-05-03T02:00:00.000Z,95571,24329,9118.1,2435.7
1998-05-03T03:00:00.000Z,85048,21543,8048.6,2132.1
1998-05-03T04:00:00.000Z,82048,20543,7665.7,2037.2
1998-05-03T05:00:00.000Z,74952,18557,6869,1811.7
1998-05-03T06:00:00.000Z,69476,17100,6314.5,1651
1998-05-03T07:00:00.000Z,63619,15671,5779.8,1522.4
1998-05-03T08:00:00.000Z,57952,14300,5314.5,1394.9
1998-05-03T09:00:00.000Z,53429,13000,4807.5,1274
1998-05-03T10:00:00.000Z,51190,11906,4260.9,1132.1
1998-05-03T11:00:00.000Z,53143,11774,4144.8,1083.2
1998-05-03T12:00:00.000Z,44514,10624,3781.7,989.8
1998-05-03T13:00:00.000Z,40038,9665.7,3472.2,912.76
1998-05-03T14:00:00.000Z,40286,9387.1,3315.5,857.14
1998-05-03T15:00:00.000Z,38329,8745.7,3065.5,790.82
1998-05-03T16:00:00.000Z,36224,8155.7,2857.1,739.8
1998-05-03T17:00:00.000Z,33333,7412.9,2558.5,666.33
1998-05-03T18:00:00.000Z,30671,6822.9,2363.1,617.35
1998-05-03T19:00:00.000Z,24167,5777.1,2095.2,557.65
1998-05-03T20:00:00.000Z,24410,5594.3,1965.3,508.62
1998-05-03T21:00:00.000Z,22276,5210,1840.3,480.26
1998-05-03T22:00:00.000Z,16086,4098.6,1561.5,423.67
1998-05-03T23:00:00.000Z,20229,5018.6,1883.9,482.55
1998-05-04T00:00:00.000Z,26210,6392.9,2251,527.55
1998-05-04T01:00:00.000Z,41814,8792.9,2660.7,563.78
1998-05-04T02:00:00.000Z,83714,14457,3744,686.22
1998-05-04T03:00:00.000Z,97857,19500,5385.9,932.14
1998-05-04T04:00:00.000Z,69905,13626,3798.6,683.16
1998-05-04T05:00:00.000Z,82238,15329,4145.8,703.57
1998-05-04T06:00:00.000Z,74619,13351,3527.8,604.08
1998-05-04T07:00:00.000Z,68857,12409,3187.5,531.63
1998-05-04T08:00:00.000Z,59857,10807,2713.3,458.27
1998-05-04T09:00:00.000Z,51619,9137.1,2291.7,384.74
1998-05-04T10:00:00.000Z,46571,7992.9,1999,342.45
1998-05-04T11:00:00.000Z,41290,7052.9,1754,301.89
1998-05-04T12:00:00.000Z,35767,6188.6,1528.8,272.6
1998-05-04T13:00:00.000Z,31157,5430,1330.4,239.59
1998-05-04T14:00:00.000Z,27390,4680,1167.7,219.39
1998-05-04T15:00:00.000Z,24186,4135.7,1036.7,195.46
1998-05-04T16:00:00.000Z,20690,3547.1,917.86,176.43
1998-05-04T17:00:00.000Z,20505,3535.7,902.88,176.22
1998-05-04T18:00:00.000Z,18090,3105.7,806.85,159.39
1998-05-04T19:00:00.000Z,16367,2792.9,724.21,149.95
1998-05-04T20:00:00.000Z,14776,2541.4,657.44,134.18
1998-05-04T21:00:00.000Z,13462,2297.1,601.19,127.6
1998-05-04T22:00:00.000Z,11433,1960,534.23,117.96
1998-05-04T23:00:00.000Z,10690,1851.4,491.57,110.92
1998-05-05T00:00:00.000Z,10462,1834.3,494.35,109.39
1998-05-05T01:00:00.000Z,10395,1810,502.78,110.61
1998-05-05T02:00:00.000Z,9614.3,1577.1,449.01,103.01
